route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
40010011,22359,16638533,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638534,AG. NAPA (W/PARK),40010011,0
40050011,22359,16638535,DERYNEIA,40050011,0
40050011,22359,16638536,DERYNEIA,40050011,0
40040011,22359,16638537,DERYNEIA,40040011,0
40040011,22359,16638538,DERYNEIA,40040011,0
40150011,22359,16638539,LARNAKA,40150011,0
40150012,22359,16638540,CENTRAL BUS ST.,40150012,1
40010011,22359,16638541,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638542,AG. NAPA (W/PARK),40010011,0
40000011,22359,16638543,PARALIMNI,40000011,0
40170011,22359,16638544,LARNAKA,40170011,0
40170012,22359,16638545,PARALIMNI,40170012,1
40030011,22359,16638546,CIRCLE LINE,40030011,0
40160011,22359,16638547,LARNAKA,40160011,0
40160012,22359,16638548,PARALIMNI SQ. BUS,40160012,1
40010011,22359,16638549,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638550,AG. NAPA (W/PARK),40010011,0
40000011,22359,16638551,PARALIMNI,40000011,0
40000011,22359,16638552,PARALIMNI,40000011,0
40010011,22359,16638553,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638554,AG. NAPA (W/PARK),40010011,0
40000011,22359,16638555,PARALIMNI,40000011,0
40000011,22359,16638556,PARALIMNI,40000011,0
40030011,22359,16638557,CIRCLE LINE,40030011,0
40030011,22359,16638558,CIRCLE LINE,40030011,0
40000011,22359,16638559,PARALIMNI,40000011,0
40000011,22359,16638560,PARALIMNI,40000011,0
40010011,22359,16638561,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638562,AG. NAPA (W/PARK),40010011,0
40040011,22359,16638563,DERYNEIA,40040011,0
40040011,22359,16638564,DERYNEIA,40040011,0
40050011,22359,16638565,DERYNEIA,40050011,0
40050011,22359,16638566,DERYNEIA,40050011,0
40000011,22359,16638567,PARALIMNI,40000011,0
40000011,22359,16638568,PARALIMNI,40000011,0
40010011,22359,16638569,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638570,AG. NAPA (W/PARK),40010011,0
40090011,22359,16638571,AGIA NAPA,40090011,0
40090012,22359,16638572,E.A.C. DHEKELIA,40090012,1
40000011,22359,16638573,PARALIMNI,40000011,0
40000011,22359,16638574,PARALIMNI,40000011,0
40090011,22360,16638575,AGIA NAPA,40090011,0
40090011,22360,16638576,AGIA NAPA,40090011,0
40070011,22360,16638577,PARALIMNI,40070011,0
40110011,22360,16638578,KONNOS,40110011,0
40110012,22360,16638579,XYLOTYMPOU,40110012,1
40010011,22360,16638580,AG. NAPA (W/PARK),40010011,0
40010011,22360,16638581,AG. NAPA (W/PARK),40010011,0
40150011,22360,16638582,LARNAKA,40150011,0
40150012,22360,16638583,CENTRAL BUS ST.,40150012,1
40120011,22360,16638584,KONNOS,40120011,0
40100011,22360,16638585,AGIA NAPA,40100011,0
40100012,22360,16638586,DASAKI ACHNAS,40100012,1
40100011,22360,16638587,AGIA NAPA,40100011,0
40100012,22360,16638588,DASAKI ACHNAS,40100012,1
40080011,22360,16638589,KONNOS,40080011,0
40080012,22360,16638590,E.A.C. DHEKELIA,40080012,1
40130011,22360,16638591,AGIA NAPA,40130011,0
40180011,22360,16638592,AGIA THEKLA BEACH,40180011,0
40140011,22360,16638593,AGIA NAPA,40140011,0
40140012,22360,16638594,DERYNEIA,40140012,1
40140011,22360,16638595,AGIA NAPA,40140011,0
40040011,22360,16638596,DERYNEIA,40040011,0
40040011,22360,16638597,DERYNEIA,40040011,0
40250012,22360,16638598,XYLOFAGOU,40250012,1
40000011,22360,16638599,PARALIMNI,40000011,0
40000011,22360,16638600,PARALIMNI,40000011,0
40110011,22360,16638601,KONNOS,40110011,0
40010011,22360,16638602,AG. NAPA (W/PARK),40010011,0
40010011,22360,16638603,AG. NAPA (W/PARK),40010011,0
